survey,indicator,dataset,data_url,metadata_url,description
nla2007,Landuse,buffer_landuse,https://www.epa.gov/sites/production/files/2014-10/nla2007_buffer_landuse_metrics_20091022.csv,https://www.epa.gov/sites/production/files/2014-10/nla2007_buffer_landuse_metrics_info_20091022.txt,
nla2007,Water Chemistry,condition_chem,https://www.epa.gov/sites/production/files/2014-10/nla2007_chemical_conditionestimates_20091123.csv,https://www.epa.gov/sites/production/files/2014-10/nla2007_chemical_conditionestimates_info_20091123.txt,
nla2007,Dissolved Oxygen,condition_do,https://www.epa.gov/sites/production/files/2014-10/nla2007_meando_conditionestimate_20091123.csv,https://www.epa.gov/sites/production/files/2014-10/nla2007_meando_conditionestimate_info_20091123.txt,
nla2007,Benthic Macroinvertebrates,condition_macroinvert,https://www.epa.gov/sites/production/files/2016-12/nla2007_bentcond_08232016.csv,https://www.epa.gov/sites/production/files/2016-12/nla2012_bentcond_all_meta_08232016.txt,
nla2007,Physical Habitat,condition_phab,https://www.epa.gov/sites/production/files/2014-10/nla2007_phab_condtionestimates_20091130.csv,https://www.epa.gov/sites/production/files/2014-10/nla2007_phab_condtionestimates_info_20091130.txt,
nla2007,Plankton,condition_plank_oe_model,https://www.epa.gov/sites/production/files/2014-10/nla2007_plankton_oemodel_conditionestimates_20091125.csv,https://www.epa.gov/sites/production/files/2014-10/nla2007_plankton_oemodel_conditionestimates_info_20091125.txt,
nla2007,Recreation,condition_recreation,https://www.epa.gov/sites/production/files/2014-10/nla2007_recreational_conditionestimates_20091123.csv,https://www.epa.gov/sites/production/files/2014-10/nla2007_recreational_conditionestimates_info_20091123.txt,
nla2007,Trophic Status,condition_trophic,https://www.epa.gov/sites/production/files/2014-10/nla2007_trophic_conditionestimate_20091123.csv,https://www.epa.gov/sites/production/files/2014-10/nla2007_trophic_conditionestimate_info_20091123.txt,
nla2007,Dissolved Oxygen,do_2m,https://www.epa.gov/sites/production/files/2014-10/nla2007_meando_data_20091007.csv,https://www.epa.gov/sites/production/files/2014-10/nla2007_meando_info_20091007.txt,
nla2007,Landuse,landuse,https://www.epa.gov/sites/production/files/2013-09/nla2007_basin_landuse_metrics_20061022.csv,https://www.epa.gov/sites/production/files/2013-09/nla2007_basin_landuse_metrics_info_20091022.txt,
nla2007,Benthic Macroinvertebrates,macroinvert_count,https://www.epa.gov/sites/production/files/2016-12/nla2007_wide_benthic_08092016.csv,https://www.epa.gov/sites/production/files/2016-12/nla2012_wide_benthic_all_meta_08092016.txt,
nla2007,Benthic Macroinvertebrates,macroinvert_metrics,https://www.epa.gov/sites/production/files/2016-12/nla2007_bentmet.csv,https://www.epa.gov/sites/production/files/2016-12/nla2012_bentmet_all_meta.txt,
nla2007,Physical Habitat,phab_index,https://www.epa.gov/sites/production/files/2014-10/nla2007_phab_indexvalues.csv,https://www.epa.gov/sites/production/files/2014-10/nla2007_phab_indexvalues_info_20091120.txt,
nla2007,Physical Habitat,phab_metrics_a,https://www.epa.gov/sites/production/files/2014-10/nla2007_phab_metrics_a.csv,https://www.epa.gov/sites/production/files/2014-10/nla2007_phab_metrics_info_20091120.txt,
nla2007,Physical Habitat,phab_metrics_b,https://www.epa.gov/sites/production/files/2014-10/nla2007_phab_metrics_b.csv,https://www.epa.gov/sites/production/files/2014-10/nla2007_phab_metrics_info_20091120.txt,
nla2007,Phytoplankton,phyto_count,https://www.epa.gov/sites/production/files/2014-10/nla2007_phytoplankton_softalgaecount_20091023.csv,https://www.epa.gov/sites/production/files/2014-10/nla2007_phytoplankton_softalgaecount_info_20091023.txt,
nla2007,Phytoplankton,phyto_diatom,https://www.epa.gov/sites/production/files/2014-10/nla2007_phytoplankton_diatomcount_20091125.csv,https://www.epa.gov/sites/production/files/2014-10/nla2007_phytoplankton_diatomcount_info_20091125.txt,
nla2007,Phytoplankton,phyto_samp_info,https://www.epa.gov/sites/production/files/2014-10/nla2007_phytoplankton_sampleinfo_20091023.csv,https://www.epa.gov/sites/production/files/2014-10/nla2007_phytoplankton_sampleinfo_info_20091023.txt,
nla2007,Plankton,plank_oe_model_analysis,https://www.epa.gov/sites/production/files/2014-10/nla2007_plankton_oemodel_analysisdata_20091019.csv,https://www.epa.gov/sites/production/files/2014-10/nla2007_plankton_oemodel_analysisdata_info_20091019.txt,
nla2007,Plankton,plank_oe_model_sites,https://www.epa.gov/sites/production/files/2014-10/nla2007_plankton_oemodel_validsitesused_20091021.csv,https://www.epa.gov/sites/production/files/2014-10/nla2007_plankton_oemodel_validsitesused_info_20091021.txt,
nla2007,Water Chemistry,profile,https://www.epa.gov/sites/production/files/2013-09/nla2007_profile_20091008.csv,https://www.epa.gov/sites/production/files/2013-09/nla2007_profile_info_20091008_0.txt,
nla2007,Secchi,secchi,https://www.epa.gov/sites/production/files/2014-10/nla2007_secchi_20091008.csv,https://www.epa.gov/sites/production/files/2014-10/nla2007_secchi_info_20091008.txt,
nla2007,Site Information,site_info,https://www.epa.gov/sites/production/files/2014-01/nla2007_sampledlakeinformation_20091113.csv,https://www.epa.gov/sites/production/files/2014-01/nla2007_sampledlakeinformation_info_20091113.txt,
nla2007,Visual Assessment,visual_assess,https://www.epa.gov/sites/production/files/2014-01/nla2007_visualassessment_20091015.csv,https://www.epa.gov/sites/production/files/2014-01/nla2007_visualassessment_info_20091015.txt,
nla2007,Water Chemistry,waterchem,https://www.epa.gov/sites/production/files/2017-02/nla2007_alldata.zip,https://www.epa.gov/sites/production/files/2017-02/nla2007_alldata.zip,the waterchemistry data. Note: Not available as a single download but included in a zip file with all of the data
nla2007,Zooplankton,zoop_count,https://www.epa.gov/sites/production/files/2014-10/nla2007_zooplankton_count_20091022.csv,https://www.epa.gov/sites/production/files/2014-10/nla2007_zooplankton_count_info_20091022.txt,
nla2007,Zooplankton,zoopl_samp_info,https://www.epa.gov/sites/production/files/2014-10/nla2007_zooplankton_sampleinformation_20091020.csv,https://www.epa.gov/sites/production/files/2014-10/nla2007_zooplankton_sampleinformation_info_20091020.txt,
nla2012,Algal Toxin,algal_toxins,https://www.epa.gov/sites/production/files/2016-11/nla2012_algaltoxins_08192016.csv,https://www.epa.gov/sites/production/files/2016-11/nla2012_algaltoxins_meta_08192016.txt,microcystin measurement for littoral (MICL) and a deep spot ((MICX) samples
nla2012,Atrazine,atrazine,https://www.epa.gov/sites/production/files/2016-11/nla2012_atrazine_08192016.csv,https://www.epa.gov/sites/production/files/2016-11/nla2012_atrazine_meta_08192016.txt,atrazine measurement
nla2012,Chlorophyll-a,chla,https://www.epa.gov/sites/production/files/2016-11/nla2012_chla_wide.csv,https://www.epa.gov/sites/production/files/2016-11/nla2012_chla_wide_meta.txt,chlorophyll a measurement for littoral (CHLL) and a deep spot ((CHLX) samples
nla2012,All,condition,https://www.epa.gov/sites/production/files/2016-12/nla_2012_condition_categories.csv,https://www.epa.gov/sites/production/files/2016-12/nla_2012_condition_categories_meta.csv,
nla2012,Benthic Macroinvertebrates,condition_macroinvert,https://www.epa.gov/sites/production/files/2016-11/nla2012_bentcond_08232016.csv,https://www.epa.gov/sites/production/files/2016-11/nla2012_bentcond_meta_08232016.txt,
nla2012,Zooplankton,condition_zoop,https://www.epa.gov/sites/production/files/2016-12/nla2012_zoopcond_08192016.csv,https://www.epa.gov/sites/production/files/2016-12/nla2012_zoopcond_meta_08192016.txt,
nla2012,All,key_variables,https://www.epa.gov/sites/production/files/2017-02/nla12_keyvariables_data.csv,https://www.epa.gov/sites/production/files/2017-02/nla12_keyvariables_data_meta.txt,
nla2012,Benthic Macroinvertebrates,macroinvert_count,https://www.epa.gov/sites/production/files/2016-11/nla2012_wide_benthic_08232016.csv,https://www.epa.gov/sites/production/files/2016-11/nla2012_wide_benthic_meta_08232016.txt,
nla2012,Benthic Macroinvertebrates,macroinvert_metrics,https://www.epa.gov/sites/production/files/2016-11/nla2012_bentmet.csv,https://www.epa.gov/sites/production/files/2016-11/nla2012_bentmet_meta.txt,
nla2012,Benthic Macroinvertebrates,macroinvert_taxa,https://www.epa.gov/sites/production/files/2016-11/nla2012_benttaxa_wide_10272015.csv,https://www.epa.gov/sites/production/files/2016-11/nla2012_benttaxa_wide_meta_10272015.txt,
nla2012,Physical Habitat,phab,https://www.epa.gov/sites/production/files/2016-12/nla2012_wide_phab_08232016_0.csv,https://www.epa.gov/sites/production/files/2016-12/nla2012_wide_phab_meta_08232016.txt,
nla2012,Physical Habitat,phab_metrics,https://www.epa.gov/sites/production/files/2016-12/nla2012_wide_phabmet_10202016.csv,https://www.epa.gov/sites/production/files/2016-12/nla2012_wide_phabmet_meta_08232016.txt,
nla2012,Phytoplankton,phyto_count,https://www.epa.gov/sites/production/files/2017-02/nla2012_wide_phytoplankton_count_02122014.csv,https://www.epa.gov/sites/production/files/2017-02/nla2012_phytoplankton_wide_meta.txt,
nla2012,Phytoplankton,phyto_taxa,https://www.epa.gov/sites/production/files/2016-12/nla2012_phytotaxa_wide_10272015.csv,https://www.epa.gov/sites/production/files/2016-12/nla2012_phytotaxa_wide_meta_10272015.txt,
nla2012,Water Chemistry,profile,https://www.epa.gov/sites/production/files/2016-12/nla2012_wide_profile_08232016.csv,https://www.epa.gov/sites/production/files/2016-12/nla2012_wide_profile_meta_08232016.txt,
nla2012,Secchi,secchi,https://www.epa.gov/sites/production/files/2016-12/nla2012_secchi_08232016.csv,https://www.epa.gov/sites/production/files/2016-12/nla2012_secchi_meta_08232016.txt,
nla2012,Sediment,sediment_hg,https://www.epa.gov/sites/production/files/2016-12/nla2012_topsedhg_08192016.csv,https://www.epa.gov/sites/production/files/2016-12/nla2012_topsedhg_meta_08192016.txt,
nla2012,Site Information,site_info,https://www.epa.gov/sites/production/files/2016-12/nla2012_wide_siteinfo_08232016.csv,https://www.epa.gov/sites/production/files/2016-12/nla2012_wide_siteinfo_meta_08232016.txt,
nla2012,Water Chemistry,waterchem,https://www.epa.gov/sites/production/files/2016-12/nla2012_waterchem_wide.csv,https://www.epa.gov/sites/production/files/2016-12/nla2012_waterchem_meta.txt,
nla2012,Zooplankton,zoop_count,https://www.epa.gov/sites/production/files/2017-02/nla2012_zoopcnt_04032014.csv,https://www.epa.gov/sites/production/files/2017-02/nla2012_zoopcnt_meta.txt,
nla2012,Zooplankton,zoop_metrics,https://www.epa.gov/sites/production/files/2016-12/nla2012_zoopmets_08192016.csv,https://www.epa.gov/sites/production/files/2016-12/nla2012_zoopmets_meta_08192016.txt,
nla2012,Zooplankton,zoop_taxa,https://www.epa.gov/sites/production/files/2016-12/nla2012_zooptaxa_wide_10272015.csv,https://www.epa.gov/sites/production/files/2016-12/nla2012_zooptaxa_wide_meta_10272015.txt,
