DATA_COLUMN,parameter,column_name,LABEL
UID,column_name,UID,Unique site visit ID
LAB,column_name,LAB,Lab name
CHLL_BATCH_ID,chla_littoral,BATCH_ID,Batch ID from lab for Littoral chlorophyll a
CHLL_DATE_ANALYZED,chla_littoral,DATE_ANALYZED,Date of sample analysis for Littoral chlorophyll a
CHLL_DATE_FILTERED,chla_littoral,DATE_FILTERED,Date sample filtered for Littoral chlorophyll a
CHLL_DILUTION_FACTOR,chla_littoral,DILUTION_FACTOR,Dilution factor used in chlorophyll calculation for Littoral chlorophyll a
CHLL_EXTRACT,chla_littoral,EXTRACT,Chlorophyll a in laboratory extract (raw) for Littoral chlorophyll a
CHLL_HOLDING_TIME,chla_littoral,HOLDING_TIME,Sample holding time for Littoral chlorophyll a
CHLL_LAB_COMMENT,chla_littoral,LAB_COMMENT,Laboratory comment for Littoral chlorophyll a
CHLL_LAB_FLAG,chla_littoral,LAB_FLAG,Flag from laboratory for Littoral chlorophyll a
CHLL_LAB_SAMPLE_ID,chla_littoral,LAB_SAMPLE_ID,Laboratory Sample ID for Littoral chlorophyll a
CHLL_MDL,chla_littoral,MDL,Minimum detection limit of analyte for Littoral chlorophyll a
CHLL_QA_FLAG,chla_littoral,QA_FLAG,QA flag associated with sample for Littoral chlorophyll a
CHLL_RESULT,chla_littoral,RESULT,Analyte value for Littoral chlorophyll a
CHLL_RL,chla_littoral,RL,Reporting limit for Littoral chlorophyll a
CHLL_SAMPLEVOL,chla_littoral,SAMPLEVOL,Volume of sample from field for Littoral chlorophyll a
CHLL_UNITS,chla_littoral,UNITS,Units for Littoral chlorophyll a
CHLL_VOLUME_ADJUST,chla_littoral,VOLUME_ADJUST,Sample volume adjustment (for calculation) for Littoral chlorophyll a
CHLX_BATCH_ID,chla_deep,BATCH_ID,Batch ID from lab for X-site chlorophyll a
CHLX_DATE_ANALYZED,chla_deep,DATE_ANALYZED,Date of sample analysis for X-site chlorophyll a
CHLX_DATE_FILTERED,chla_deep,DATE_FILTERED,Date sample filtered for X-site chlorophyll a
CHLX_DILUTION_FACTOR,chla_deep,DILUTION_FACTOR,Dilution factor used in chlorophyll calculation for X-site chlorophyll a
CHLX_EXTRACT,chla_deep,EXTRACT,Chlorophyll a in laboratory extract (raw) for X-site chlorophyll a
CHLX_HOLDING_TIME,chla_deep,HOLDING_TIME,Sample holding time for X-site chlorophyll a
CHLX_LAB_COMMENT,chla_deep,LAB_COMMENT,Laboratory comment for X-site chlorophyll a
CHLX_LAB_FLAG,chla_deep,LAB_FLAG,Flag from laboratory for X-site chlorophyll a
CHLX_LAB_SAMPLE_ID,chla_deep,LAB_SAMPLE_ID,Laboratory Sample ID for X-site chlorophyll a
CHLX_MDL,chla_deep,MDL,Minimum detection limit of analyte for X-site chlorophyll a
CHLX_QA_FLAG,chla_deep,QA_FLAG,QA flag associated with sample for X-site chlorophyll a
CHLX_RESULT,chla_deep,RESULT,Analyte value for X-site chlorophyll a
CHLX_RL,chla_deep,RL,Reporting limit for X-site chlorophyll a
CHLX_SAMPLEVOL,chla_deep,SAMPLEVOL,Volume of sample from field for X-site chlorophyll a
CHLX_UNITS,chla_deep,UNITS,Units for X-site chlorophyll a
CHLX_VOLUME_ADJUST,chla_deep,VOLUME_ADJUST,Sample volume adjustment (for calculation) for X-site chlorophyll a
