New name,Former Name,Comment,source
Anathece  clathrata,Aphanothece clathrata,,https://www.awqc.com.au/news/notification-of-recent-name-changes-for-cyanobacteria-adopted-and-reported-by-awqc
Chrysosporum bergii,Anabaena bergii,var. limnetica,https://www.awqc.com.au/news/notification-of-recent-name-changes-for-cyanobacteria-adopted-and-reported-by-awqc
Chrysosporum ovalisporum,Aphanizomenon ovalisporum,,https://www.awqc.com.au/news/notification-of-recent-name-changes-for-cyanobacteria-adopted-and-reported-by-awqc
Cuspidothrix  issatchenkoi,Aphanizomenon  issatchenkoi,,https://www.awqc.com.au/news/notification-of-recent-name-changes-for-cyanobacteria-adopted-and-reported-by-awqc
Dolichospermum,Anabaena,,https://www.awqc.com.au/news/notification-of-recent-name-changes-for-cyanobacteria-adopted-and-reported-by-awqc
Dolichospermum affine,Anabaena affinis,,https://www.awqc.com.au/news/notification-of-recent-name-changes-for-cyanobacteria-adopted-and-reported-by-awqc
Dolichospermum flos-aquae,Anabaena flos-aquae,f. flos-aquae,https://www.awqc.com.au/news/notification-of-recent-name-changes-for-cyanobacteria-adopted-and-reported-by-awqc
Dolichospermum flos-aquae,Anabaena spiroides,var. minima,https://www.awqc.com.au/news/notification-of-recent-name-changes-for-cyanobacteria-adopted-and-reported-by-awqc
Dolichospermum perturbatum,Anabaena perturbata ,var. tumida,https://www.awqc.com.au/news/notification-of-recent-name-changes-for-cyanobacteria-adopted-and-reported-by-awqc
Dolichospermum spiroides,Anabaena spiroides ,f. spiroides,https://www.awqc.com.au/news/notification-of-recent-name-changes-for-cyanobacteria-adopted-and-reported-by-awqc
Dolichospermum circinale,Anabaena circinalis,,https://www.awqc.com.au/news/notification-of-recent-name-changes-for-cyanobacteria-adopted-and-reported-by-awqc
Dolichospermum crassum,Anabaena crassa,,https://www.awqc.com.au/news/notification-of-recent-name-changes-for-cyanobacteria-adopted-and-reported-by-awqc
Dolichospermum planctonicum,Anabaena planctonica,,https://www.awqc.com.au/news/notification-of-recent-name-changes-for-cyanobacteria-adopted-and-reported-by-awqc
Dolichospermum smithii,Anabaena smithii,,https://www.awqc.com.au/news/notification-of-recent-name-changes-for-cyanobacteria-adopted-and-reported-by-awqc
Planktothricoides raciborskii,Planktothrix raciborskii,,https://www.awqc.com.au/news/notification-of-recent-name-changes-for-cyanobacteria-adopted-and-reported-by-awqc
Sphaerospermopsis  aphanizomenonoides,Anabaena aphanizomenoides,,https://www.awqc.com.au/news/notification-of-recent-name-changes-for-cyanobacteria-adopted-and-reported-by-awqc
Sphaerospermopsis reniformis,Anabaena nova,,https://www.awqc.com.au/news/notification-of-recent-name-changes-for-cyanobacteria-adopted-and-reported-by-awqc
Planktothrix,Oscillatoria,not all spp.,doi:10.1099/ijs.0.01834-0
