"parameter","units"
"aluminum","mg/L"
"ammonia_n","mg N/L"
"anc","ueq/L"
"calcium","mg/L"
"chloride","mg/L"
"color","APHA Pt-Co"
"cond","uS/cm @ 25C"
"doc","mg/L"
"magnesium","mg/L"
"nitrate_n","mg N/L"
"nitrate_nitrite_n","mg N/L"
"nitrate_nitrite_n","mg/L"
"nitrite_n","mg N/L"
"ntl","mg/L"
"ph","Std. Units"
"potassium","mg/L"
"ptl","ug/L"
"silica","mg/L"
"sodium","mg/L"
"sulfate","mg/L"
"toc","mg/L"
"tss","mg/L"
"turb","NTU"
"chla_littoral","ug/L"
"chla","ug/L"
"microcystin","ppb"
"microcystin_littoral","ppb"
"atrazine","ppb"
"secchi","m"
"do2_2m","mg/l"
